category,group_code,group_label,division,division_label,annual_spending_euros_2017,budget_share,division_rate,contribution_points
age,1,Moins de 25 ans,01,Alimentation et boissons non alcoolisées,2047,0.1045507942182951,1.1523941982912733,0.12048372868390808
age,1,Moins de 25 ans,02,Boissons alcoolisées et tabac,561,0.028653148781858113,1.8773716796484985,0.053792610055815294
age,1,Moins de 25 ans,03,Habillement et chaussures,1208,0.0616987588743041,-1.479379876380582,-0.09127590227630335
age,1,Moins de 25 ans,04,"Logement, eau et énergie",5038,0.2573165125900199,3.576437587657799,0.9202764475519686
age,1,Moins de 25 ans,05,Meubles et entretien du foyer,709,0.03621226824659073,-0.019932230416597196,-0.0007217912745986726
age,1,Moins de 25 ans,06,Santé,290,0.014811788140354462,-0.5128720836685363,-0.007596552646400507
age,1,Moins de 25 ans,07,Transports,3134,0.1600694621788651,6.9813176007866184,1.117495753657759
age,1,Moins de 25 ans,08,Information et communication,713,0.03641656877266459,4.937399030694678,0.17980313135938022
age,1,Moins de 25 ans,09,Loisirs et culture,1707,0.08718524950201746,-0.4483867823374621,-0.039092713491498426
age,1,Moins de 25 ans,10,Enseignement,529,0.027018744573267275,4.728440919586374,0.12775653743608928
age,1,Moins de 25 ans,11,Restauration et hébergement,1713,0.08749170029112825,1.8669446550416913,0.16334216221903147
age,1,Moins de 25 ans,12,Autres biens et services,1930,0.09857500383063486,2.838363811631961,0.2797917236043559
age,2,25-34 ans,01,Alimentation et boissons non alcoolisées,3397,0.11652716794731065,1.1523941982912733,0.13428523228579362
age,2,25-34 ans,02,Boissons alcoolisées et tabac,750,0.025727222832052688,1.8773716796484985,0.048299559540901954
age,2,25-34 ans,03,Habillement et chaussures,1813,0.062191273326015366,-1.479379876380582,-0.0920045182449916
age,2,25-34 ans,04,"Logement, eau et énergie",5285,0.18129116355653127,3.576437587657799,0.6483765316537962
age,2,25-34 ans,05,Meubles et entretien du foyer,1489,0.0510771130625686,-0.019932230416597196,-0.001018080786577704
age,2,25-34 ans,06,Santé,467,0.01601948408342481,-0.5128720836685363,-0.008215946181161034
age,2,25-34 ans,07,Transports,5022,0.1722694840834248,6.9813176007866184,1.2026679813100438
age,2,25-34 ans,08,Information et communication,815,0.027956915477497256,4.937399030694678,0.138034447379808
age,2,25-34 ans,09,Loisirs et culture,2762,0.09474478594950604,-0.4483867823374621,-0.0424823097151506
age,2,25-34 ans,10,Enseignement,76,0.0026070252469813393,4.728440919586374,0.012327164856221338
age,2,25-34 ans,11,Restauration et hébergement,2441,0.08373353457738748,1.8669446550416913,0.1563258748270022
age,2,25-34 ans,12,Autres biens et services,4835,0.16585482985729966,2.838363811631961,0.4707563470513354
age,3,35-44 ans,01,Alimentation et boissons non alcoolisées,4804,0.15032700190881498,1.1523941982912733,0.17323596484623954
age,3,35-44 ans,02,Boissons alcoolisées et tabac,872,0.02728666645805301,1.8773716796484985,0.05122721484036333
age,3,35-44 ans,03,Habillement et chaussures,1890,0.05914197202490847,-1.479379876380582,-0.08749344326311294
age,3,35-44 ans,04,"Logement, eau et énergie",4814,0.15063992239571924,3.576437587657799,0.5387542806579042
age,3,35-44 ans,05,Meubles et entretien du foyer,1624,0.050818287073254684,-0.019932230416597196,-0.0010129218073208952
age,3,35-44 ans,06,Santé,562,0.017586131364020402,-0.5128720836685363,-0.009019435836333743
age,3,35-44 ans,07,Transports,5257,0.16450229996557875,6.9813176007866184,1.148442802119575
age,3,35-44 ans,08,Information et communication,847,0.026504365240792315,4.937399030694678,0.1308626272490657
age,3,35-44 ans,09,Loisirs et culture,3126,0.09781894420627718,-0.4483867823374621,-0.043860721644300354
age,3,35-44 ans,10,Enseignement,238,0.007447507588321808,4.728440919586374,0.03521509962955087
age,3,35-44 ans,11,Restauration et hébergement,2884,0.09024626842319367,1.8669446550416913,0.16848478847013917
age,3,35-44 ans,12,Autres biens et services,5039,0.1576806333510655,2.838363811631961,0.44755500349887195
age,4,45-54 ans,01,Alimentation et boissons non alcoolisées,5067,0.1589996234467177,1.1523941982912733,0.18323024359049458
age,4,45-54 ans,02,Boissons alcoolisées et tabac,977,0.030657713066398896,1.8773716796484985,0.05755592227364702
age,4,45-54 ans,03,Habillement et chaussures,1726,0.05416091376929836,-1.479379876380582,-0.08012456591668397
age,4,45-54 ans,04,"Logement, eau et énergie",4686,0.14704405673402787,3.576437587657799,0.5258938915452632
age,4,45-54 ans,05,Meubles et entretien du foyer,1649,0.051744696874607754,-0.019932230416597196,-0.0010313872209416586
age,4,45-54 ans,06,Santé,592,0.018576628592945902,-0.5128720836685363,-0.009527434214000674
age,4,45-54 ans,07,Transports,5716,0.17936488013053847,6.9813176007866184,1.2522031946183103
age,4,45-54 ans,08,Information et communication,898,0.028178737291326722,4.937399030694678,0.13912967018839653
