category,group_code,group_label,modeled_inflation,annual_spending_euros_2017,budget_share_sum,difference_vs_modeled_total
age,1,Moins de 25 ans,2.824055134879507,19579,1.0,0.23377948529098047
age,2,25-34 ans,2.6673522839770216,29152,1.0,0.07707663438849499
age,3,35-44 ans,2.5523912587606414,31957,1.0,-0.037884390827885195
age,4,45-54 ans,2.6500629649660667,31868,1.0,0.05978731537754012
age,5,55-64 ans,2.6021472496270075,27583,1.0,0.011871600038480867
age,6,65-74 ans,2.545976755363641,24532,1.0,-0.04429889422488564
age,7,75 ans ou plus,2.3720739812953058,18877,1.0,-0.21820166829322085
age,TOT,Ensemble,2.5902756495885266,27409,1.0,0.0
categorie_socioprofessionnelle,1,Agriculteurs,2.7221612895424583,25557,1.0,0.13188563995393165
categorie_socioprofessionnelle,2,"Artisans, commerçants et chefs d'entreprise",2.7126371617264255,34987,1.0,0.12236151213789892
categorie_socioprofessionnelle,3,Cadres,2.4960517131184132,43612,1.0,-0.0942239364701134
categorie_socioprofessionnelle,4,Professions intermédiaires,2.6759930216557395,32119,1.0,0.08571737206721286
categorie_socioprofessionnelle,5,Employés,2.659075346868273,24540,1.0,0.06879969727974622
categorie_socioprofessionnelle,6,Ouvriers,2.733357628851812,24434,1.0,0.14308197926328559
categorie_socioprofessionnelle,7,Retraités,2.4931026375852197,22182,1.0,-0.09717301200330697
categorie_socioprofessionnelle,8,Autres inactifs,2.518622134144313,16182,1.0,-0.0716535154442135
categorie_socioprofessionnelle,TOT,Ensemble,2.5902756495885266,27409,1.0,0.0
lieu_de_residence,0,Communes rurales,2.6584271527200185,27051,1.0,0.06815150313149188
lieu_de_residence,1,Petites villes (< 20 000 hab.),2.6131735322385548,26582,1.0,0.022897882650028123
lieu_de_residence,2,Villes moyennes (20 000 à 100 000 hab.),2.6536703857406057,25426,1.0,0.06339473615207902
lieu_de_residence,3,Grandes villes (> 100 000 hab.),2.5568799851728237,26824,1.0,-0.033395664415702964
lieu_de_residence,4,Agglomération parisienne,2.5033021599701684,31772,1.0,-0.08697348961835827
lieu_de_residence,TOT,Ensemble,2.5902756495885266,27409,1.0,0.0
type_de_menage,1,Personnes seules,2.5548685361590655,17314,1.0,-0.03540711342946112
type_de_menage,2,Familles monoparentales,2.6105735196252864,23907,1.0,0.020297870036759758
type_de_menage,3,Couples sans enfant,2.599373893266337,30756,1.0,0.009098243677810203
type_de_menage,4,Couples avec enfants,2.5956629214862965,38453,1.0,0.005387271897769885
type_de_menage,5,Autres ménages,2.6438553050220186,29540,1.0,0.05357965543349197
type_de_menage,TOT,Ensemble,2.5902756495885266,27409,1.0,0.0
decile_de_niveau_de_vie,1,Décile 1,2.647420828831371,16123,1.0,0.057145179242844346
decile_de_niveau_de_vie,10,Décile 10,2.5353302979001913,48352,1.0,-0.054945351688335364
decile_de_niveau_de_vie,2,Décile 2,2.6298378108455625,18321,1.0,0.03956216125703582
decile_de_niveau_de_vie,3,Décile 3,2.5816341960247113,20070,1.0,-0.008641453563815293
decile_de_niveau_de_vie,4,Décile 4,2.6566685038904625,22637,1.0,0.06639285430193587
decile_de_niveau_de_vie,5,Décile 5,2.658560559520919,23787,1.0,0.06828490993239233
decile_de_niveau_de_vie,6,Décile 6,2.654147696637438,27080,1.0,0.06387204704891136
decile_de_niveau_de_vie,7,Décile 7,2.6421511782123694,29059,1.0,0.051875528623842815
decile_de_niveau_de_vie,8,Décile 8,2.5742927204377657,32645,1.0,-0.01598292915076094
decile_de_niveau_de_vie,9,Décile 9,2.460775328862849,35867,1.0,-0.12950032072567774
decile_de_niveau_de_vie,TOT,Ensemble,2.5902756495885266,27409,1.0,0.0
statut_d_occupation,L,Locataires,2.705670102208075,24076,1.0,0.11539445261954828
statut_d_occupation,P,Propriétaires,2.5292137087249795,29578,1.0,-0.061061940863547104
statut_d_occupation,TOT,Ensemble,2.5902756495885266,27409,1.0,0.0
