category,dimension,group_code,group_label,modeled_inflation,difference_vs_modeled_total,spending_share_01_pct,spending_share_02_pct,spending_share_03_pct,spending_share_04_pct,spending_share_05_pct,spending_share_06_pct,spending_share_07_pct,spending_share_08_pct,spending_share_09_pct,spending_share_10_pct,spending_share_11_pct,spending_share_12_pct
age,Âge de la personne de référence,1,Moins de 25 ans,2.82,0.23,10.46,2.87,6.17,25.73,3.62,1.48,16.01,3.64,8.72,2.7,8.75,9.86
age,Âge de la personne de référence,2,25-34 ans,2.67,0.08,11.65,2.57,6.22,18.13,5.11,1.6,17.23,2.8,9.47,0.26,8.37,16.59
age,Âge de la personne de référence,4,45-54 ans,2.65,0.06,15.9,3.07,5.42,14.7,5.17,1.86,17.94,2.82,9.42,1.69,8.21,13.81
age,Âge de la personne de référence,5,55-64 ans,2.6,0.01,17.64,3.37,4.68,15.02,6.08,1.86,17.25,2.61,9.14,0.67,6.24,15.42
age,Âge de la personne de référence,3,35-44 ans,2.55,-0.04,15.03,2.73,5.91,15.06,5.08,1.76,16.45,2.65,9.78,0.74,9.02,15.77
age,Âge de la personne de référence,6,65-74 ans,2.55,-0.04,19.01,2.7,3.49,15.66,6.95,1.84,16.13,2.5,9.95,0.11,4.72,16.92
age,Âge de la personne de référence,7,75 ans ou plus,2.37,-0.22,20.68,2.51,2.56,19.61,7.24,2.45,9.68,2.64,7.93,0.09,3.73,20.88
categorie_socioprofessionnelle,Catégorie socioprofessionnelle,6,Ouvriers,2.73,0.14,16.4,3.93,5.39,18.38,4.61,1.64,17.52,3.36,7.85,0.46,5.55,14.9
categorie_socioprofessionnelle,Catégorie socioprofessionnelle,1,Agriculteurs,2.72,0.13,18.68,2.93,4.78,11.59,4.02,1.31,18.09,3.42,7.71,0.66,7.58,19.22
categorie_socioprofessionnelle,Catégorie socioprofessionnelle,2,"Artisans, commerçants et chefs d'entreprise",2.71,0.12,14.9,3.38,4.88,13.85,5.4,1.56,19.27,2.5,9.5,1.23,9.13,14.39
categorie_socioprofessionnelle,Catégorie socioprofessionnelle,4,Professions intermédiaires,2.68,0.09,14.5,2.84,5.7,14.77,4.9,1.87,18.58,2.7,9.58,0.87,8.15,15.54
categorie_socioprofessionnelle,Catégorie socioprofessionnelle,5,Employés,2.66,0.07,15.22,2.96,6.13,19.47,4.26,1.78,16.11,3.23,8.37,0.79,6.87,14.79
categorie_socioprofessionnelle,Catégorie socioprofessionnelle,8,Autres inactifs,2.52,-0.07,16.77,3.52,5.82,24.13,4.75,1.89,11.0,3.65,7.4,2.16,6.27,12.64
categorie_socioprofessionnelle,Catégorie socioprofessionnelle,3,Cadres,2.5,-0.09,13.45,1.94,5.53,13.39,6.48,1.79,16.78,2.07,11.31,1.35,10.74,15.16
categorie_socioprofessionnelle,Catégorie socioprofessionnelle,7,Retraités,2.49,-0.1,19.54,2.93,3.4,16.7,6.93,2.06,14.16,2.59,9.08,0.15,4.36,18.08
lieu_de_residence,Lieu de résidence,0,Communes rurales,2.66,0.07,17.13,3.13,4.77,12.32,6.14,1.74,18.97,2.82,9.31,0.49,6.25,16.92
lieu_de_residence,Lieu de résidence,2,Villes moyennes (20 000 à 100 000 hab.),2.65,0.06,16.25,2.78,5.01,16.86,5.24,1.87,16.89,2.79,8.76,0.73,6.58,16.23
lieu_de_residence,Lieu de résidence,1,Petites villes (< 20 000 hab.),2.61,0.02,16.75,2.87,4.93,14.56,6.2,1.79,17.54,2.77,9.34,0.49,6.11,16.65
lieu_de_residence,Lieu de résidence,3,Grandes villes (> 100 000 hab.),2.56,-0.03,15.74,2.95,5.22,17.4,5.52,1.82,15.27,2.73,9.37,0.94,7.38,15.65
lieu_de_residence,Lieu de résidence,4,Agglomération parisienne,2.5,-0.09,14.75,2.53,5.02,19.95,5.27,2.02,13.69,2.44,9.84,1.16,9.41,13.93
type_de_menage,Type de ménage,5,Autres ménages,2.64,0.05,18.48,3.39,5.12,17.51,4.08,1.84,15.93,3.27,8.33,1.21,6.0,14.83
type_de_menage,Type de ménage,2,Familles monoparentales,2.61,0.02,15.05,2.87,6.19,19.73,4.43,1.87,15.02,3.28,8.4,1.16,7.47,14.54
type_de_menage,Type de ménage,3,Couples sans enfant,2.6,0.01,17.35,2.93,4.34,13.88,6.69,1.91,17.92,2.38,9.56,0.22,6.29,16.53
type_de_menage,Type de ménage,4,Couples avec enfants,2.6,0.01,16.02,2.49,5.76,12.53,5.54,1.77,17.79,2.64,9.44,1.32,8.47,16.24
type_de_menage,Type de ménage,1,Personnes seules,2.55,-0.04,14.61,3.4,4.21,24.2,5.27,1.88,12.41,2.99,9.45,0.39,6.3,14.89
